model,display_name,r2,rmse,mae,n,alpha,beta,a_F2,b_F,c,a,b,p_raw,k_raw,c1,c2,c3,c4,c5,H_inf
icao_family_exp,ICAO-Family Exponential,0.5905286827957614,0.25548135047630444,0.19674823810711117,170,0.6135340879460922,-0.967276936357194,,,,,,,,,,,,,
mechanistic_icao_ratio,Mechanistic ICAO Ratio,0.5922804706122242,0.2549342684247435,0.19364764227537237,170,,,-0.4424693343192839,1.1273278092865757,-1.0757177376475957,,,,,,,,,,
power_law_exp,Power-Law Exponential,0.591062849778305,0.2553146547487276,0.19656948173439298,170,,,,,,0.6236453231628671,-0.9819341943233814,-0.748196693476985,,,,,,,
saturating_exp,Saturating Exponential,0.5905264972256488,0.25548203229653876,0.19674929367725874,170,,,,,,5724.071071864475,-3630.706193388757,,-8.685548504759845,,,,,,
log_poly2,Log-Polynomial (2nd Order),0.5984645250295032,0.25299353342368186,0.18923098122400145,170,,,,,,,,,,-1.1710677263339564,0.10542520358120176,1.4223910840163028,-0.32640819114564934,-0.4441633233544069,
quad_rational,Quadratic Rational,0.5926410532420566,0.25482151296953265,0.19217953528281476,170,,,,,,-1.0451719280713916,1.3930832141708687,,,,,,,,16.358952440999563
quad_rational_constrained,Quadratic Rational Constrained,0.5926410533208286,0.2548215129448949,0.1921792885574015,170,,,,,,-1.0451022894714044,1.3930609978906427,,,,,,,,16.358878269572806
